zhAddress,zhLink,zhName,zhNum,zhTime,zhType
北京,position_detail.php?id=47309&keywords=&tid=0&lid=0,AQ-安全品牌经理（北京）,1,2019-01-30,市场类
深圳,position_detail.php?id=47297&keywords=&tid=0&lid=0,28603-116 微信支付效能开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47299&keywords=&tid=0&lid=0,28601-微信支付行业缴费开发工程师（深圳）,1,2019-01-30,技术类
上海,position_detail.php?id=47300&keywords=&tid=0&lid=0,19157-车联物联安全—固件/硬件安全研究员（上海）,1,2019-01-30,技术类
深圳,position_detail.php?id=47301&keywords=&tid=0&lid=0,22989-域名与DNS项目经理（深圳总部）,1,2019-01-30,产品/项目类
广州,position_detail.php?id=47302&keywords=&tid=0&lid=0,22989-域名与DNS项目经理（广州）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47303&keywords=&tid=0&lid=0,28096-腾讯音乐商业化广告高级产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47292&keywords=&tid=0&lid=0,PCG15-数据产品专家,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47352&keywords=&tid=0&lid=0,TEG06-企业内网安全产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47353&keywords=&tid=0&lid=0,23295-互娱游戏数据营销经理（深圳）,1,2019-01-30,市场类
北京,position_detail.php?id=47354&keywords=&tid=0&lid=0,30359-后台开发高级工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47355&keywords=&tid=0&lid=0,23675-后台开发（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47356&keywords=&tid=0&lid=0,TEG11-深度学习研究员（深圳）,2,2019-01-30,技术类
北京,position_detail.php?id=47357&keywords=&tid=0&lid=0,TME-全民K歌音频算法工程师（北京）,1,2019-01-30,技术类
北京,position_detail.php?id=47346&keywords=&tid=0&lid=0,24547-内容商业制片人,2,2019-01-30,内容编辑类
美国,position_detail.php?id=47347&keywords=&tid=0&lid=0,21557- Sr/Principle researcher on video coding standard,1,2019-01-30,技术类
深圳,position_detail.php?id=47348&keywords=&tid=0&lid=0,28481-高级项目经理(深圳),1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47349&keywords=&tid=0&lid=0,22989-腾讯云Serverless产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47337&keywords=&tid=0&lid=0,21527-腾讯音乐高级内部审计师（深圳）,4,2019-01-30,职能类
